molecule,voltage_vacuum_v,voltage_li_v,fraction_reduced,mean_charge_e
EC,-0.40999999999999903,0.9900000000000009,1.8381628338663627e-09,-1.8381628338663627e-09
EC,-0.399999999999999,1.0000000000000009,1.2485080944857097e-09,-1.2485080944857097e-09
DMC,-1.6,-0.20000000000000018,0.9999999998195241,-0.9999999998195241
DMC,-1.59,-0.19000000000000017,0.9999999997342877,-0.9999999997342877
DMC,-1.58,-0.18000000000000016,0.9999999996087949,-0.9999999996087949
DMC,-1.57,-0.17000000000000015,0.9999999994240336,-0.9999999994240336
DMC,-1.56,-0.16000000000000014,0.9999999991520119,-0.9999999991520119
DMC,-1.55,-0.15000000000000013,0.9999999987515178,-0.9999999987515178
DMC,-1.54,-0.14000000000000012,0.9999999981618752,-0.9999999981618752
DMC,-1.53,-0.13000000000000012,0.9999999972937519,-0.9999999972937519
DMC,-1.52,-0.1200000000000001,0.9999999960156247,-0.9999999960156247
DMC,-1.51,-0.1100000000000001,0.9999999941338542,-0.9999999941338542
DMC,-1.5,-0.10000000000000009,0.9999999913633472,-0.9999999913633472
DMC,-1.49,-0.09000000000000008,0.9999999872843642,-0.9999999872843642
DMC,-1.48,-0.08000000000000007,0.9999999812789288,-0.9999999812789288
DMC,-1.47,-0.07000000000000006,0.9999999724372016,-0.9999999724372016
DMC,-1.46,-0.06000000000000005,0.9999999594196375,-0.9999999594196375
DMC,-1.45,-0.050000000000000044,0.9999999402540416,-0.9999999402540416
DMC,-1.44,-0.040000000000000036,0.999999912036776,-0.999999912036776
DMC,-1.43,-0.030000000000000027,0.999999870492852,-0.999999870492852
DMC,-1.42,-0.020000000000000018,0.9999998093282593,-0.9999998093282593
DMC,-1.41,-0.010000000000000009,0.9999997192764087,-0.9999997192764087
DMC,-1.4,0.0,0.9999995866942263,-0.9999995866942263
DMC,-1.39,0.010000000000000009,0.9999993914952031,-0.9999993914952031
DMC,-1.38,0.020000000000000018,0.9999991041062642,-0.9999991041062642
DMC,-1.3699999999999999,0.030000000000000027,0.9999986809874285,-0.9999986809874285
DMC,-1.3599999999999999,0.040000000000000036,0.9999980580355159,-0.9999980580355159
DMC,-1.3499999999999999,0.050000000000000044,0.9999971408726277,-0.9999971408726277
DMC,-1.3399999999999999,0.06000000000000005,0.999995790548253,-0.999995790548253
DMC,-1.3299999999999998,0.07000000000000006,0.9999938024892207,-0.9999938024892207
DMC,-1.3199999999999998,0.08000000000000007,0.9999908755091859,-0.9999908755091859
